"State","Zone","District","Class of Employment","Category/Grade","Designation/Skill_Set","Effective_from","conversion","Basic/day","HRA/day","VDA/day","Tea-food-&-lodging_allowance/day","Special_Allowance/Day","Daily_Rate","Basic/month","HRA/month","VDA/month","Tea-food-&-lodging_allowance/month","Special_Allowance/month","Monthly_Rate","COE Keywords"
"Central Sphere","","","Stone Mines","Removal and Rejected Stones with 50 meters, Lead/1.5 Meter Lift","Workers","1/3/122",26,283,"",76,"","",359,"7358.00","","1976.00","","","9334.00",0
"Central Sphere","","","Stone Mines","Excavation & Removal of over burden with 50 meters, Lead/1.5 Meter Lift","Workers for Rock","1/3/122",26,703,"",187,"","",890,"18278.00","","4862.00","","","23140.00",0
"Central Sphere","","","Stone Mines","Excavation & Removal of over burden with 50 meters, Lead/1.5 Meter Lift","Workers for Soft Soil with Rock","1/3/122",26,531,"",141,"","",672,"13806.00","","3666.00","","","17472.00",0
"Central Sphere","","","Stone Mines","Excavation & Removal of over burden with 50 meters, Lead/1.5 Meter Lift","Workers for Soft Soil","1/3/122",26,351,"",96,"","",447,"9126.00","","2496.00","","","11622.00",0
"Central Sphere","Zone III","","Watch and Ward (with arms) – Security","Unskilled","Watchman","1/3/122",26,579,"",155,"","",734,"15054.00","","4030.00","","","19084.00","Guards"
"Central Sphere","Zone II","","Watch and Ward (with arms) – Security","Unskilled","Watchman","1/3/122",26,637,"",169,"","",806,"16562.00","","4394.00","","","20956.00","Guards"
"Central Sphere","Zone I","","Watch and Ward (with arms) – Security","Unskilled","Watchman","1/3/122",26,693,"",183,"","",876,"18018.00","","4758.00","","","22776.00","Guards"
"Central Sphere","Zone III","","Watch and Ward (without arms) – Security","Unskilled","Watchman","1/3/122",26,494,"",131,"","",625,"12844.00","","3406.00","","","16250.00","Guards"
"Central Sphere","Zone II","","Watch and Ward (without arms) – Security","Unskilled","Watchman","1/3/122",26,579,"",155,"","",734,"15054.00","","4030.00","","","19084.00","Guards"
"Central Sphere","Zone I","","Watch and Ward (without arms) – Security","Unskilled","Watchman","1/3/122",26,637,"",169,"","",806,"16562.00","","4394.00","","","20956.00","Guards"
"Central Sphere","Zone III","","Sweeping and Cleaning","","","1/3/122",26,350,"",93,"","",443,"9100.00","","2418.00","","","11518.00","Scavengers"
"Central Sphere","Zone II","","Sweeping and Cleaning","","","1/3/122",26,437,"",116,"","",553,"11362.00","","3016.00","","","14378.00","Scavengers"
"Central Sphere","Zone I","","Sweeping and Cleaning","","","1/3/122",26,523,"",140,"","",663,"13598.00","","3640.00","","","17238.00","Scavengers"
"Central Sphere","Zone III","","Loading-Unloading in Warehouse, Godowns, Goods Sheds and Parcel offices of Railways, Goods and Cargo Carried Out at Airports","","Loading/Unloading","1/3/122",26,350,"",93,"","",443,"9100.00","","2418.00","","","11518.00",0
"Central Sphere","Zone II","","Loading-Unloading in Warehouse, Godowns, Goods Sheds and Parcel offices of Railways, Goods and Cargo Carried Out at Airports","","Loading/Unloading","1/3/122",26,437,"",116,"","",553,"11362.00","","3016.00","","","14378.00",0
"Central Sphere","Zone I","","Loading-Unloading in Warehouse, Godowns, Goods Sheds and Parcel offices of Railways, Goods and Cargo Carried Out at Airports","","Loading/Unloading","1/3/122",26,523,"",140,"","",663,"13598.00","","3640.00","","","17238.00",0
"Central Sphere","Zone III","","Construction/Maintenance of Roads or in Building Operations*","Highly Skilled","","1/3/122",26,579,"",155,"","",734,"15054.00","","4030.00","","","19084.00",0
"Central Sphere","Zone II","","Construction/Maintenance of Roads or in Building Operations*","Highly Skilled","","1/3/122",26,637,"",169,"","",806,"16562.00","","4394.00","","","20956.00",0
"Central Sphere","Zone I","","Construction/Maintenance of Roads or in Building Operations*","Highly Skilled","","1/3/122",26,693,"",183,"","",876,"18018.00","","4758.00","","","22776.00",0
"Central Sphere","Zone III","","Construction/Maintenance of Roads or in Building Operations*","Clerical","","1/3/122",26,494,"",131,"","",625,"12844.00","","3406.00","","","16250.00",0
"Central Sphere","Zone II","","Construction/Maintenance of Roads or in Building Operations*","Clerical","","1/3/122",26,579,"",155,"","",734,"15054.00","","4030.00","","","19084.00",0
"Central Sphere","Zone I","","Construction/Maintenance of Roads or in Building Operations*","Clerical","","1/3/122",26,637,"",169,"","",806,"16562.00","","4394.00","","","20956.00",0
"Central Sphere","Zone III","","Construction/Maintenance of Roads or in Building Operations*","Skilled","","1/3/122",26,494,"",131,"","",625,"12844.00","","3406.00","","","16250.00",0
