"State","Zone","District","Class of Employment","Category/Grade","Designation/Skill_Set","Effective_from","conversion","Basic/day","HRA/day","VDA/day","Tea-food-&-lodging_allowance/day","Special_Allowance/Day","Daily_Rate","Basic/month","HRA/month","VDA/month","Tea-food-&-lodging_allowance/month","Special_Allowance/month","Monthly_Rate","COE Keywords"
"Himachal Pradesh","","","Temples and Religious Places/Dharamshalas","Highly Skilled","","1/3/122",30,391.38,"","",31.47,"",422.85,11741,"","",945,"",12686,0
"Himachal Pradesh","","","Temples and Religious Places/Dharamshalas","Skilled","","1/3/122",30,373.51,"","",32.85,"",406.36,11205,"","",986,"",12191,0
"Himachal Pradesh","","","Temples and Religious Places/Dharamshalas","Semi Skilled","","1/3/122",30,339.12,"","",30.81,"",369.93,10174,"","",924,"",11098,0
"Himachal Pradesh","","","Temples and Religious Places/Dharamshalas","Unskilled","","1/3/122",30,324.47,"","",25.53,"",350,9734,"","",766,"",10500,0
"Himachal Pradesh","","","Cleaning and Sorting of Onions","Highly Skilled","","1/3/122",30,"","","","","",483.17,"","","","","",14495,"Food Salad Industry"
"Himachal Pradesh","","","Cleaning and Sorting of Onions","Skilled","","1/3/122",30,"","","","","",406.36,"","","","","",12191,"Food Salad Industry"
"Himachal Pradesh","","","Cleaning and Sorting of Onions","Semi Skilled","","1/3/122",30,"","","","","",360.92,"","","","","",10828,"Food Salad Industry"
"Himachal Pradesh","","","Cleaning and Sorting of Onions","Unskilled","","1/3/122",30,"","","","","",350,"","","","","",10500,"Food Salad Industry"
"Himachal Pradesh","","","Sweeping and Cleaning","Highly Skilled","","1/3/122",30,"","","","","",483.17,"","","","","",14495,"Scavengers"
"Himachal Pradesh","","","Sweeping and Cleaning","Skilled","","1/3/122",30,"","","","","",406.36,"","","","","",12191,"Scavengers"
"Himachal Pradesh","","","Sweeping and Cleaning","Semi Skilled","","1/3/122",30,"","","","","",360.92,"","","","","",10828,"Scavengers"
"Himachal Pradesh","","","Sweeping and Cleaning","Unskilled","","1/3/122",30,"","","","","",350,"","","","","",10500,"Scavengers"
"Himachal Pradesh","","","Forest and Forestry","","Katha Processor","1/3/122",30,"","","","","",357.2,"","","","","",10716,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Feller and Chipper in Katha Extraction","1/3/122",30,"","","","","",357.92,"","","","","",10738,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Cutter","1/3/122",30,"","","","","",357.92,"","","","","",10738,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Helper","1/3/122",30,"","","","","",357.92,"","","","","",10738,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Planner Mistry","1/3/122",30,"","","","","",363.08,"","","","","",10892,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Assistant Mistry in Sawmill","1/3/122",30,"","","","","",363.08,"","","","","",10892,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Boiler Driver","1/3/122",30,"","","","","",413.02,"","","","","",12391,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Head Mistry","1/3/122",30,"","","","","",413.02,"","","","","",12391,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Supervisor","1/3/122",30,"","","","","",409.07,"","","","","",12272,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Band Saw Mistry","1/3/122",30,"","","","","",413.02,"","","","","",12391,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","Highly Skilled","Head Foreman","1/3/122",30,"","","","","",483,"","","","","",14490,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","Highly Skilled","Boiler Attendant Overseer","1/3/122",30,"","","","","",483,"","","","","",14490,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","Clerical & General Staff","Munshi / Typist clerk","1/3/122",30,"","","","","",357.92,"","","","","",10738,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","Clerical & General Staff","Accountant","1/3/122",30,"","","","","",393.38,"","","","","",11801,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","Clerical & General Staff","Manager","1/3/122",30,"","","","","",509.43,"","","","","",15283,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Compressor Driver","1/3/122",30,"","","","","",387.43,"","","","","",11623,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Driver (Heavy Vehicle)","1/3/122",30,"","","","","",387.43,"","","","","",11623,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Ski-line Operator","1/3/122",30,"","","","","",413.02,"","","","","",12391,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Surveyor","1/3/122",30,"","","","","",442.53,"","","","","",13276,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Jamadar","1/3/122",30,"","","","","",384.72,"","","","","",11542,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Ghalu","1/3/122",30,"","","","","",384.72,"","","","","",11542,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Darya-man","1/3/122",30,"","","","","",452.33,"","","","","",13570,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Assistant Mistri","1/3/122",30,"","","","","",422.85,"","","","","",12686,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Taru","1/3/122",30,"","","","","",452.33,"","","","","",13570,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Mohri Mistry","1/3/122",30,"","","","","",471.27,"","","","","",14138,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Span Mistry","1/3/122",30,"","","","","",413.02,"","","","","",12391,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Span Mistry-cum-Supervisor","1/3/122",30,"","","","","",439.89,"","","","","",13197,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Loading/Unloading","1/3/122",30,"","","","","",357.92,"","","","","",10738,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Carriage labour","1/3/122",30,"","","","","",357.92,"","","","","",10738,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Blacksmith","1/3/122",30,"","","","","",413.02,"","","","","",12391,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Sawyer (Charani)","1/3/122",30,"","","","","",439.89,"","","","","",13197,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Dresser (Panchani)","1/3/122",30,"","","","","",357.92,"","","","","",10738,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Feller (Garani)","1/3/122",30,"","","","","",357.92,"","","","","",10738,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","","Lopper (Changi)","1/3/122",30,"","","","","",369.93,"","","","","",11098,"Jungle"
"Himachal Pradesh","","","Forest and Forestry","Unskilled","Workers","1/3/122",30,"","","","","",350,"","","","","",10500,"Jungle"
"Himachal Pradesh","","","Toll Tax Barriers Workers","Highly Skilled","","1/3/122",30,"","","","","",483.17,"","","","","",14495,0
"Himachal Pradesh","","","Toll Tax Barriers Workers","Skilled","","1/3/122",30,"","","","","",406.36,"","","","","",12191,0
"Himachal Pradesh","","","Toll Tax Barriers Workers","Semi Skilled","","1/3/122",30,"","","","","",360.92,"","","","","",10828,0
"Himachal Pradesh","","","Toll Tax Barriers Workers","Unskilled","","1/3/122",30,"","","","","",350,"","","","","",10500,0
"Himachal Pradesh","","","Stone Breaking and Crushing","Clerical and non Technical Supervisory Staff","","1/3/122",30,"","","","","",406.36,"","","","","",12191,0
"Himachal Pradesh","","","Stone Breaking and Crushing","Highly Skilled","","1/3/122",30,"","","","","",483.17,"","","","","",14495,0
"Himachal Pradesh","","","Stone Breaking and Crushing","Skilled","","1/3/122",30,"","","","","",406.36,"","","","","",12191,0
"Himachal Pradesh","","","Stone Breaking and Crushing","Semi Skilled","","1/3/122",30,"","","","","",371.77,"","","","","",11153,0
"Himachal Pradesh","","","Stone Breaking and Crushing","Unskilled","","1/3/122",30,"","","","","",350,"","","","","",10500,0
"Himachal Pradesh","","","Security Services","Highly Skilled","","1/3/122",30,"","","","","",483.17,"","","","","",14495,"Watchman Guard"
"Himachal Pradesh","","","Security Services","Skilled","","1/3/122",30,"","","","","",406.36,"","","","","",12191,"Watchman Guard"
"Himachal Pradesh","","","Security Services","Semi Skilled","","1/3/122",30,"","","","","",360.92,"","","","","",10828,"Watchman Guard"
"Himachal Pradesh","","","Security Services","Unskilled","","1/3/122",30,"","","","","",350,"","","","","",10500,"Watchman Guard"
"Himachal Pradesh","","","Domestic Workers","Skilled","","1/3/122",30,326.92,"","",79.44,"",406.36,9808,"","",2383,"",12191,"Informal Sector"
"Himachal Pradesh","","","Domestic Workers","Semi Skilled","","1/3/122",30,306.88,"","",63.05,"",369.93,9206,"","",1892,"",11098,"Informal Sector"
"Himachal Pradesh","","","Domestic Workers","Unskilled","","1/3/122",30,296,"","",54,"",350,8880,"","",1620,"",10500,"Informal Sector"
"Himachal Pradesh","","","Hospitals, Nursing Homes, Clinics And Dispensaries","Highly Skilled","","1/3/122",30,391.38,"","",31.47,"",422.85,11741,"","",945,"",12686,0
"Himachal Pradesh","","","Hospitals, Nursing Homes, Clinics And Dispensaries","Skilled","","1/3/122",30,373.51,"","",32.85,"",406.36,11205,"","",986,"",12191,0
"Himachal Pradesh","","","Hospitals, Nursing Homes, Clinics And Dispensaries","Semi Skilled","","1/3/122",30,339.12,"","",30.81,"",369.93,10174,"","",924,"",11098,0
"Himachal Pradesh","","","Hospitals, Nursing Homes, Clinics And Dispensaries","Unskilled","","1/3/122",30,324.47,"","",25.53,"",350,9734,"","",766,"",10500,0
"Himachal Pradesh","","","Pharmaceutical Manufacturers","Highly Skilled","","1/3/122",30,"","","","","",483.17,"","","","","",14495,"Medicine Shop medical"
"Himachal Pradesh","","","Pharmaceutical Manufacturers","Skilled","","1/3/122",30,"","","","","",406.36,"","","","","",12191,"Medicine Shop medical"
"Himachal Pradesh","","","Pharmaceutical Manufacturers","Semi Skilled","","1/3/122",30,"","","","","",360.92,"","","","","",10828,"Medicine Shop medical"
"Himachal Pradesh","","","Pharmaceutical Manufacturers","Unskilled","","1/3/122",30,"","","","","",350,"","","","","",10500,"Medicine Shop medical"
"Himachal Pradesh","","","Hydro Power Projects","Highly Skilled","","1/3/122",30,"","","","","",483.17,"","","","","",14495,"Electricity"
"Himachal Pradesh","","","Hydro Power Projects","Skilled","","1/3/122",30,"","","","","",406.36,"","","","","",12191,"Electricity"
"Himachal Pradesh","","","Hydro Power Projects","Semi Skilled","","1/3/122",30,"","","","","",371.77,"","","","","",11153,"Electricity"
"Himachal Pradesh","","","Hydro Power Projects","Unskilled","","1/3/122",30,"","","","","",350,"","","","","",10500,"Electricity"
"Himachal Pradesh","","","Private Educational Institutes","Highly Skilled","","1/3/122",30,"","","","","",422.85,"","","","","",12686,"Teaching School Collage"
"Himachal Pradesh","","","Private Educational Institutes","Skilled","","1/3/122",30,"","","","","",406.36,"","","","","",12191,"Teaching School Collage"
"Himachal Pradesh","","","Private Educational Institutes","Semi Skilled","","1/3/122",30,"","","","","",369.93,"","","","","",11098,"Teaching School Collage"
"Himachal Pradesh","","","Private Educational Institutes","Unskilled","","1/3/122",30,"","","","","",350,"","","","","",10500,"Teaching School Collage"
"Himachal Pradesh","","","Hotels and Restaurants","Highly Skilled","","1/3/122",30,391.38,"","",31.47,"",422.85,11741,"","",945,"",12686,"Eating House Cantin Accommodation"
"Himachal Pradesh","","","Hotels and Restaurants","Skilled","","1/3/122",30,373.51,"","",32.85,"",406.36,11205,"","",986,"",12191,"Eating House Cantin Accommodation"
"Himachal Pradesh","","","Hotels and Restaurants","Semi Skilled","","1/3/122",30,340.11,"","",29.82,"",369.93,10203,"","",895,"",11098,"Eating House Cantin Accommodation"
